FacName,FacStreet,FacCity,FacState,RegistryID,FacSNCFlg,FacQtrsWithNC,FacInspectionCount,FacFormalActionCount,FacMapFlg,"DFR URL"
"MARYLAND PIG IRON OF ILLINOIS","12901 S STONY ISLAND",CHICAGO,IL,110046593995,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110046593995
"MASTER CV DRIVE AXLES","6244 W BELMONT",CHICAGO,IL,110003053668,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110003053668
"MASTER TAPE PRINTERS","4517 N ELSTON AVE",CHICAGO,IL,110005893809,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005893809
"MAT ASPHALT LLC","2055 W PERSHING AVE",CHICAGO,IL,110070102035,N,0,2,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110070102035
"MAT ASPHALT LLC","2033 W PERSHING RD",CHICAGO,IL,110071139308,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110071139308
"MATCHLESS METAL POLISH CO","840 W 49TH PL",CHICAGO,IL,110001320785,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110001320785
"MATERIAL SVC CORP","E 103RD ST & CALUMET RIVER",CHICAGO,IL,110007553851,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110007553851
"MATOT D A INC","1533 W ALTGED ST",CHICAGO,IL,110005928461,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005928461
"MATTIQ INC","400 N ABERDEEN ST SUITE 650",CHICAGO,IL,110072044293,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110072044293
"MAURITZON INC","3939 W BELDEN AVE",CHICAGO,IL,110037159516,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110037159516
"MAXS AUTO FASHIONS","8522 S RACINE AVE",CHICAGO,IL,110070160902,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110070160902
"MAXS AUTO REBUILDER","8522 S RACINE",CHICAGO,IL,110070159337,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110070159337
"MAXTEC INTERNATIONAL CORPORATION","6470 WEST CORTLAND ST.",CHICAGO,IL,110001965080,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110001965080
"MAYERS COLLISION CENTER INC","6835 W IRVING PARK RD",CHICAGO,IL,110070159433,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110070159433
"MAYFAIR APTS","7347 N SHERIDAN RD",CHICAGO,IL,110003045749,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110003045749
"MAYFAIR HOTEL, THE","181 E LAKESHORE DR",CHICAGO,IL,110000851622,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110000851622
"MAYFAIR PUMPING STATION","4850 WEST WILSON AVENUE",CHICAGO,IL,110001804478,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110001804478
"MAYO SCHOOL","249 E 37TH ST",CHICAGO,IL,110021990087,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110021990087
"MAYS CHEMICAL COMPANY - CHICAGO","875 E 112TH ST",CHICAGO,IL,110013297814,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110013297814
"MAZUMA TRADING COMPANY","4233 W. 36TH STREET",CHICAGO,IL,110072071681,N,,0,1,Y,https://echo.epa.gov/detailed-facility-report?fid=110072071681
"MCAULIFFE ELEMENTARY","1841 N SPRINGFIELD AVE",CHICAGO,IL,110003047248,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110003047248
"MCC CHICAGO","71 WEST VAN BUREN SITE B",CHICAGO,IL,110005802818,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005802818
"MCCARTHY FORD INC","11400 S PULASKI",CHICAGO,IL,110005830093,N,0,1,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005830093
"MCCLELLAN SCHOOL","3527 S WALLACE",CHICAGO,IL,110001286028,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110001286028
"MCCORMICK PLACE","2301 S LAKE SHORE DR-D",CHICAGO,IL,110018279218,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110018279218
"MCCORMICK PLACE HQ HOTEL","330 E CERMAK RD",CHICAGO,IL,110067548014,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110067548014
"MCCORMICK WEST CONSTRUCTORS LLC","2211 S DR MARTIN LUTHER KING DR",CHICAGO,IL,110027985795,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110027985795
"MCDONAGH DEMOLITION","2300 W 47TH ST",CHICAGO,IL,110072072062,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110072072062
"MCDONNELL CLEANERS","932 W 103RD ST",CHICAGO,IL,110005843631,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005843631
"MCGRATH CITY HONDA","6725 W GRAND AVE",CHICAGO,IL,110005953511,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005953511
"MCGRATH CITY HYUNDAI","6722 W GRAND AVE",CHICAGO,IL,110031418721,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110031418721
"MCGRATH CITY HYUNDAI","6601 W BELDEN",CHICAGO,IL,110027985269,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110027985269
"MCPHERSON SCHOOL-CHGO BD OF ED","4728 N WOLCOTT",CHICAGO,IL,110038692607,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110038692607
