VIOLATION_TYPE,DISPOSITION,FINE_AMOUNT,LATITUDE,LONGITUDE
7-28-060,L,1000,41.69426150222699,-87.68138051079653
7-28-080,N,0,41.886153798335094,-87.64850996895605
7-28-720,L,600,41.90562529084211,-87.71203973202593
11-5-023,NA,NA,41.96161792537372,-87.65486924100664
1-20-020,NA,NA,41.951859117502146,-87.68825854818121
7-28-080,N,100,41.8899657601292,-87.72455691394318
7-28-060,L,100,41.80518651456335,-87.7037442445894
7-28-080,L,400,41.84144201243765,-87.72583786326288
11-4-2210D,L,15000,41.69080068110966,-87.55959706455512
7-28-080,L,1000,41.887329275371094,-87.66330569005213
7-28-080,N,300,41.78519267395424,-87.7667534323291
11/4/2115,L,100,41.894556380607675,-87.70637882675334
11-4-240,L,200,41.988394388257966,-87.79181717301438
13-32-125(2)(c) Full Description: Construction site cleanliness - fabric mesh,LIABPLEA,-800,41.79374783539962,-87.63312580567603
7-28-080,N,400,41.91035173405037,-87.63326946885557
11-4-660 Full Description: Full Description: Owner of process equipment must provide instructions on proper operation,NONSUIT,0,41.92512902760997,-87.66195628426566
11/4/2835,L,1000,41.88374649180804,-87.64110497582169
11/4/2140,N,0,41.92643970143967,-87.68755279219107
11-4-760,LIABPLEA,1000,41.945200605925294,-87.65976663813638
11-4-630,L,600,41.819672155542015,-87.6971717871291
7-28-440,N,300,41.88760759335858,-87.7314374626175
15-30-020,L,631.46,41.8090958212444,-87.63273119702362
11-4-1500 Full Description: Full Description: Treatment and disposal of solid or liquid waste,NONSUIT,0,41.757196346112096,-87.66539149480496
15-24-1230,L,150,41.91458708465855,-87.67859015730635
11-4-830,L,1000,41.9606326070353,-87.76389319818983
11-4-630,L,300,41.94704380159518,-87.6729705510446
11-4-1150,NA,100,41.79957680216707,-87.5955129218999
11-4-660 Full Description: Owner of process equipment must provide instructions on proper operation,DEFAULT,-5000,41.79012177707305,-87.68238079876934
7-28-080,N,100,41.89068412851692,-87.6786957703882
7-28-720,L,1700,41.87329826612075,-87.74359722782042
11-4-630,L,1000,41.82435610323234,-87.7018743616458
11-4-2170(e) Full Description: Full Description: Performance standards for facility demolitions and renovations requiring asbestos abatement,LIABPLEA,2000,41.957062090152334,-87.6746201432363
11-4-780,L,2400,41.70808461168997,-87.54341826835295
11-4-250,L,3500,41.7621257630963,-87.73277640276729
11-4-1150,L,500,41.92950400267859,-87.646621078196
13-32-125 (2E),L,1500,41.96864140759437,-87.6987246165967
11-4-630,L,900,41.89783123289037,-87.61790612940916
4-108-355,L,100,41.736358013423896,-87.62401505808678
11-4-630,NA,NA,41.85237619330861,-87.70999968951324
7-28-080,L,1200,41.86494552863105,-87.68358646206258
11-4-1500,N,1000,41.85757004755513,-87.63878536513943
11-4-630,L,700,41.82172408198169,-87.62870738396323
7-28-080,L,0,41.815071241733406,-87.74097899057384
11-5-023,NA,NA,41.954386340580264,-87.65468903946913
13-32-125,L,3500,41.99802216925381,-87.69463112667239
11-4-630,L,500,41.837132671422296,-87.70496711478727
7-28-720,L,500,41.848745776337445,-87.7310322515179
11-4-660 Full Description: Owner of process equipment must provide instructions on proper operation,NONSUIT,NA,41.905335123487475,-87.73636494890691
7-28-261A,L,400,41.93124872462609,-87.75968066162403
7-28-720,NA,NA,41.94242923207006,-87.74226402126133
11-4-1585A,L,1000,41.83559095210125,-87.68029626770499
7-28-720 Full Description: Accumulation of materials or junk which provides rat harborage,NONSUIT,NA,41.81541424851126,-87.64555933091245
7-28-390,N,100,41.815071241733406,-87.74097899057384
11-4-250,L,200,41.86402039415411,-87.66952722296895
11-4-1500,NA,500,41.870300416605744,-87.6923851642855
11-4-770,N,500,41.96873073356719,-87.6726720327568
7-28-080,N,0,41.88225790033051,-87.66765601623716
7-28-080,L,300,41.976752313791025,-87.7284136216287
7-28-080,N,1300,41.87801092371806,-87.63705852233733
11-4-1500,L,4500,41.87849605492625,-87.69248193157645
11-4-1150,NA,NA,41.93687554704504,-87.64444128310855
7-28-080,N,100,41.99600943422116,-87.761681299873
