NAME,STREET,VIOLATIONS,INSPECTIONS,FORMAL_ACTIONS
ANGELA ENTERPRISES INC,2954 W IRVING PARK RD,0,0,0
ANGELO CAPUTOS FRESH MARKETS 131-TREATMENT PLANT,PURO FILTER CORP,0,0,0
ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,225 E CHICAGO AVE,0,0,0
ANNIE KELLER MAGNET,3020 W 108TH ST,0,0,0
ANTHONY CLEANERS,5136 W CHICAGO,0,0,0
"AOL XPRESS AND LOGISTICS, LLC",820 EAST 44TH STREET,NA,0,1
AON CENTER,200 E RANDOLPH DR,0,0,0
APARTMENT BUILDING,1022 THRU 1024 N AUSTIN BLVD,0,0,0
APARTMENTS KAGAN MGMT,3831MFREMONT,0,0,0
APEX PRINTERS INC,3508 N ELSTON,0,0,0
APOLLO PLASTICS,5333 N ELSTON AVE,2,3,0
APS CLEANERS,3200 W MARQUETTE RD,0,0,0
ARAI MIDDLE SCHOOL,900 W WILSON,0,0,0
ARBY GRAPHIC SERVICE,2842 W FULLERTON,0,0,0
ARC DOCUMENT SOLUTIONS  - CHICAGO,640 N LASALLE ST STE 240,0,0,0
ARCHER BP PETROLEUM INC,6751 W ARCHER & OAK PARK,0,0,0
ARCHER TINNING AND RE-TINNING,1019 W 47TH ST,0,0,0
ARCHER WIRE,4035 S WESTERN BLVD,0,0,0
ARDAGH METAL BEVERAGE USA INC,1101 W 43RD ST,0,2,2
ARES MANAGEMENT,120 W MADISON,0,0,0
ARI INDUSTRIES INC,1854 BESLEY CT,0,0,0
ARIEL COMMUNITY SCHOOL,4434 S LAKE PARK,0,0,0
ARMAND LEE CO LTD,840 N MILWAUKEE AVE,0,0,0
ARMITAGE NO 1 CLEANERS,3052 W ARMITAGE,0,0,0
ARMO CORP,5804 S STATE ST,0,0,0
ARMOUR SQUARE PARK,3309 S SHIELDS AVE,0,0,0
ARMY CORPS OF ENGINEERS LOCK DAM 01,134TH AND CALUMET RIVER,0,0,0
ART BUNCH INC THE,230 N MICHIGAN AVE SUITE 618,0,0,0
ART ENGRAVERS,29 E MADISON 1301,0,0,0
ART METAL FINISHERS,6741 N CLARK ST,0,0,0
ARTAG INC,2853 W IRVING PARK RD,0,0,0
ARTHUR ANDERSON & CO,33 W MONROE STE 1141,0,0,0
ARTHUR E CANTY ES,3740 N PANAMA,0,0,0
ARTHUR R ASHE ELEMENTARY SCHOOL,8505 S INGLESIDE AVE,0,0,0
ARTISAN HAND PRINTS,4234 N PULASKI RD,0,0,0
ARTISTRY ENGRAVING AND EMBOSSING,6000 N NORTHWEST HWY,0,0,0
ARTS AUTO BODY,8549 S SOUTH CHICAGO AVE,0,0,0
ARTS AUTO REBUILDERS,7400 S WESTERN,0,0,0
