LocationName,Measure,Data_Value,Geolocation
17031301200,COPD,5.5,POINT (-87.6914771 41.8484171)
17031410600,COPD,5,POINT (-87.5989422 41.7979687)
17031510200,Current Asthma,12.1,POINT (-87.5600495 41.7142651)
17031060900,COPD,2.8,POINT (-87.6417784 41.9515166)
17031081500,COPD,2.7,POINT (-87.6260787 41.8929064)
17031170100,COPD,11.9,POINT (-87.7948168 41.9558596)
17031060100,Current Asthma,9,POINT (-87.6666112 41.9575311)
17031031200,COPD,9.6,POINT (-87.657341 41.9727092)
17031081900,COPD,2.6,POINT (-87.641487 41.89799)
17031710200,COPD,11.8,POINT (-87.6514252 41.7551131)
17031610300,COPD,6.3,POINT (-87.6751022 41.8161779)
17031010100,Current Asthma,11.3,POINT (-87.6698301 42.0212553)
17031030300,COPD,5,POINT (-87.6725348 41.9943875)
17031020801,COPD,5,POINT (-87.6944149 41.9868081)
17031110502,COPD,4.6,POINT (-87.7598523 41.9702865)
17031440600,COPD,8,POINT (-87.6191373 41.7326718)
17031251500,COPD,7.8,POINT (-87.7603538 41.8911035)
17031010502,Current Asthma,10,POINT (-87.6633273 42.0045173)
17031081700,COPD,1.6,POINT (-87.6318316 41.8922185)
17031100200,Current Asthma,9.4,POINT (-87.7942589 41.9957734)
17031050300,Current Asthma,8.9,POINT (-87.6904442 41.9578851)
17031170100,Current Asthma,10.3,POINT (-87.7948168 41.9558596)
17031081700,Current Asthma,8.7,POINT (-87.6318316 41.8922185)
17031350100,COPD,2.6,POINT (-87.6079492 41.840259)
17031243400,Current Asthma,8.9,POINT (-87.659854 41.892566)
17031520100,COPD,7.4,POINT (-87.5294325 41.7211184)
17031430300,Current Asthma,13.7,POINT (-87.5893601 41.7697163)
17031251900,COPD,10.4,POINT (-87.7600945 41.8838116)
17031360200,Current Asthma,14.2,POINT (-87.6098876 41.8268855)
17031040100,COPD,3.6,POINT (-87.6828856 41.9856223)
17031010400,Current Asthma,10.6,POINT (-87.6588157 42.0064109)
17031061000,COPD,2.3,POINT (-87.6519703 41.9492206)
17031560400,Current Asthma,9,POINT (-87.7406144 41.8040062)
17031161200,Current Asthma,8.8,POINT (-87.7385701 41.9425489)
17031020500,Current Asthma,10,POINT (-87.6841982 42.0013129)
17031691500,COPD,11.8,POINT (-87.6002666 41.7550528)
17031691000,Current Asthma,12.7,POINT (-87.6200151 41.7619654)
17031410500,Current Asthma,11,POINT (-87.6037423 41.7978308)
17031271400,COPD,9.2,POINT (-87.7133314 41.8772429)
17031260300,COPD,9.6,POINT (-87.7331362 41.8842766)
17031020500,COPD,8.2,POINT (-87.6841982 42.0013129)
17031310800,Current Asthma,8.9,POINT (-87.6685737 41.8559337)
17031710500,COPD,9.8,POINT (-87.6707874 41.7475316)
17031220702,Current Asthma,9.3,POINT (-87.7242313 41.9293687)
17031062900,Current Asthma,8.9,POINT (-87.6564113 41.936237)
17031050900,Current Asthma,9.4,POINT (-87.685778 41.9449466)
17031040800,COPD,2.9,POINT (-87.6918213 41.963974)
17031050700,Current Asthma,9.1,POINT (-87.6760595 41.945071)
17031150402,Current Asthma,9.4,POINT (-87.7720436 41.9567979)
17031140100,COPD,3.5,POINT (-87.705805 41.9712014)
17031051100,COPD,2.5,POINT (-87.6808266 41.9413652)
17031160501,Current Asthma,9.3,POINT (-87.7129732 41.9592098)
17031120100,COPD,4.4,POINT (-87.7750065 42.0019817)
17031410100,COPD,3.7,POINT (-87.5810259 41.8015822)
17031220902,Current Asthma,9.1,POINT (-87.7218357 41.9227112)
17031691100,Current Asthma,13.1,POINT (-87.6298721 41.7617135)
17031580100,Current Asthma,7.9,POINT (-87.6907463 41.8280549)
17031190401,Current Asthma,8.9,POINT (-87.7809524 41.9347276)
17031600400,COPD,6.7,POINT (-87.6439322 41.8417183)
17031071300,COPD,2.7,POINT (-87.6414578 41.9217794)
17031110200,COPD,6.6,POINT (-87.7734442 41.9800699)
17031160700,Current Asthma,8.9,POINT (-87.7021347 41.9512177)
17031061200,Current Asthma,9.4,POINT (-87.6616427 41.9490599)
17031630900,Current Asthma,8.5,POINT (-87.7083655 41.7898114)
17031161200,COPD,5,POINT (-87.7385701 41.9425489)
