COMPLAINT_TYPE,RESOLUTION,LATITUDE,LONGITUDE
Air Pollution Work Order,Resolved,41.82678722147,-87.6623772672
Air Pollution Work Order,Alleged violation not found,41.8900188354,-87.70189052312
Air Pollution Work Order,NA,41.92691993266,-87.72669290197
Air Pollution Work Order,Alleged violation not found,41.89751403146,-87.66479681461
Noise Complaint,Alleged violation not found,41.90850050269,-87.7326175775
Air Pollution Work Order,Alleged violation not found,41.89551242443,-87.70058110682
Air Pollution Work Order,Alleged violation unfounded,41.94249593029,-87.70511600242
Water Pollution,Alleged violation not found,41.98229640512,-87.69048076056
Noise Complaint,NA,41.88915823706,-87.64294894501
Noise Complaint,Resolved,41.93547481525,-87.69053235779
Air Pollution Work Order,Resolved,41.86658729538,-87.69877877488
Water Pollution,Alleged violation not found,41.98229640512,-87.69048076056
Noise Complaint,NA,41.80677893367,-87.74420743772
Asbestos Work Order,Resolved,41.76353846885,-87.66727739404
Air Pollution Work Order,Alleged violation not found,41.71324291275,-87.55803846898
Noise Complaint,Alleged violation not found,41.86247174799,-87.73613108351
Air Pollution Work Order,Resolved,41.67326684599,-87.57549200323
Air Pollution Work Order,Complaint Valid,41.71324291275,-87.55803846898
Air Pollution Work Order,Alleged violation not found,41.71166142721,-87.6892537394
Air Pollution Work Order,Alleged violation unfounded,41.74689492493,-87.63405312423
Air Pollution Work Order,Resolved,42.00180083514,-87.67260642225
Noise Complaint,Complaint Valid,41.93584538239,-87.69269599839
Noise Complaint,Alleged violation not found,41.91893424524,-87.65689024048
Air Pollution Work Order,Alleged violation unfounded,41.71668320413,-87.55498830394
Air Pollution Work Order,Resolved,41.93509677057,-87.8104559954
Air Pollution Work Order,Alleged violation unfounded,41.78172195811,-87.72543480054
Air Pollution Work Order,Alleged violation founded,41.84874577634,-87.73103225152
Air Pollution Work Order,Resolved,42.00162239531,-87.82017898395
Air Pollution Work Order,Alleged violation founded,41.84874577634,-87.73103225152
Air Pollution Work Order,Alleged violation not found,41.87319408718,-87.7474887295
Air Pollution Work Order,Resolved,41.8268211493,-87.66562788159
Construction and Demolition,Refer to Building Dept,41.99949342815,-87.66052802581
Noise Complaint,Complaint Valid,41.93278072792,-87.640369088
Noise Complaint,Resolved,41.98496774597,-87.67450678865
Construction and Demolition,Resolved,41.9305575956,-87.69865577826
Noise Complaint,Alleged violation not found,41.98746908145,-87.79016081907
Air Pollution Work Order,Alleged violation not found,41.706861098,-87.61146240699
Air Pollution Work Order,Alleged violation not found,41.81445686102,-87.70775400399
Illegal Dumping Work Order,Alleged violation not found,41.75873220489,-87.63464757453
Noise Complaint,NA,41.78569159953,-87.61010843773
Air Pollution Work Order,NA,41.70808461169,-87.54341826835
Asbestos Work Order,NA,41.90263980261,-87.6549015803
Illegal Dumping Work Order,Complaint Invalid,41.80529816314,-87.6550120729
Air Pollution Work Order,Alleged violation not found,41.72230440262,-87.59473130449
Illegal Dumping Work Order,Alleged violation unfounded,41.87741283757,-87.6766908959
Air Pollution Work Order,Resolved,41.76543544897,-87.62320876126
Air Pollution Work Order,Alleged violation not found,41.67762702997,-87.61673297384
Air Pollution Work Order,Alleged violation not found,41.72947782263,-87.56444632645
Air Pollution Work Order,Resolved,41.92457006101,-87.71048849222
Air Pollution Work Order,Resolved,41.92457006101,-87.71048849222
Air Pollution Work Order,Alleged violation not found,41.82297276573,-87.67702220738
Air Pollution Work Order,Alleged violation not found,41.97700051805,-87.66462725908
Noise Complaint,Refer to Building Dept,41.8033155906,-87.5852874181
Air Pollution Work Order,Alleged violation not found,41.95043050087,-87.75879015968
Air Pollution Work Order,Alleged violation not found,41.94943128,-87.68305608104
Air Pollution Work Order,Alleged violation not found,41.70951931762,-87.561054621
Construction and Demolition,Alleged violation founded,41.92273279965,-87.71139691938
Air Pollution Work Order,Complaint Valid,41.71324291275,-87.55803846898
Air Pollution Work Order,Alleged violation not found,41.82682957473,-87.67533075323
Noise Complaint,Resolved,41.81289756149,-87.72636738328
Air Pollution Work Order,Alleged violation not found,41.98855902422,-87.66165113432
Noise Complaint,Complaint Valid,41.90398663768,-87.6285305712
Illegal Dumping Work Order,Complaint Invalid,41.73325119334,-87.66070558125
Air Pollution Work Order,Resolved,41.92457006101,-87.71048849222
Air Pollution Work Order,Resolved,41.92457006101,-87.71048849222
Air Pollution Work Order,Alleged violation not found,41.88688545614,-87.63562182424
Air Pollution Work Order,Alleged violation unfounded,41.82297276573,-87.67702220738
Air Pollution Work Order,Resolved,41.88484103192,-87.62777189495
Toxics Hazardous Materials Work Order,NA,41.8338425628,-87.65118662902
Construction and Demolition,Alleged violation not found,41.92552315087,-87.65130775556
Noise Complaint,Resolved,41.85601886947,-87.62214255489
Noise Complaint,Resolved,41.8990757804,-87.62580952351
Air Pollution Work Order,Alleged violation unfounded,41.8236088505,-87.67495304099
Illegal Dumping Work Order,Resolved,41.8726110286,-87.68390099113
Noise Complaint,Resolved,41.89221137964,-87.68766706431
Noise Complaint,NA,41.88211431537,-87.6288935692
Air Pollution Work Order,Alleged violation unfounded,41.82297276573,-87.67702220738
Asbestos Work Order,Alleged violation not found,41.86136307537,-87.73618231653
Air Pollution Work Order,Complaint Valid,41.82487574264,-87.67131259092
Asbestos Work Order,Resolved,41.92283217737,-87.69264246772
Illegal Dumping Work Order,NA,41.80909582124,-87.63273119702
Air Pollution Work Order,Alleged violation not found,41.91619403962,-87.63889957076
Construction and Demolition,Resolved,41.86341429224,-87.65643268166
Air Pollution Work Order,Alleged violation unfounded,41.71564437955,-87.55526372433
Water Pollution,Alleged violation not found,41.92539998056,-87.6585591016
Noise Complaint,Resolved,41.8984650062,-87.62633254606
Construction and Demolition,Alleged violation not found,41.81037050983,-87.6355284022
Air Pollution Work Order,Alleged violation not found,41.89580311489,-87.67698747604
Air Pollution Work Order,Resolved,41.77289476587,-87.57756213288
Noise Complaint,NA,41.93705718667,-87.65658537216
Service Stations/Storage Tanks Work Order,NA,41.97128700632,-87.72796901474
Air Pollution Work Order,Alleged violation not found,41.83565810852,-87.67895693111
Illegal Dumping Work Order,Refer to Code Enforcement,41.67327624377,-87.57519945888
Construction and Demolition,Alleged violation not found,41.93578386891,-87.77867392071
Air Pollution Work Order,Alleged violation not found,41.73821104014,-87.61280544231
Illegal Dumping Work Order,NA,41.87197139112,-87.7130148562
Air Pollution Work Order,Complaint Valid,41.91718586203,-87.64106559826
Air Pollution Work Order,Alleged violation unfounded,41.82476424651,-87.67130960861
Noise Complaint,Resolved,41.8984650062,-87.62633254606
Air Pollution Work Order,Complaint Valid,41.89832098389,-87.62122151749
Air Pollution Work Order,Resolved,41.97972879734,-87.90232235822
Water Pollution,Alleged violation not found,41.88632510357,-87.6962814822
Illegal Dumping Work Order,NA,41.83504453077,-87.65861267608
Construction and Demolition,Alleged violation not found,41.94103659409,-87.66855069326
Air Pollution Work Order,Alleged violation not found,41.99166183331,-87.69320747255
Asbestos Work Order,Resolved,41.77236755114,-87.57906933916
Air Pollution Work Order,Alleged violation unfounded,41.82431800163,-87.67129811507
Air Pollution Work Order,Alleged violation not found,41.88142460173,-87.67658458679
Other,NA,41.90913788407,-87.6653592521
Noise Complaint,Resolved,41.8984650062,-87.62633254606
Air Pollution Work Order,Alleged violation founded,41.88692306764,-87.62527793862
Air Pollution Work Order,Alleged violation not found,41.95318684964,-87.75726573468
Air Pollution Work Order,Alleged violation unfounded,41.82297276573,-87.67702220738
Construction and Demolition,Alleged violation not found,41.88889805837,-87.66721889141
Service Stations/Storage Tanks Work Order,NA,41.99418332212,-87.69450286684
Air Pollution Work Order,NA,41.93547127427,-87.64064567684
Construction and Demolition,Refer to Dept of Health,41.97472755169,-87.65481937663
Noise Complaint,Alleged violation not found,41.96502734245,-87.66115988079
Air Pollution Work Order,Alleged violation unfounded,41.70648742698,-87.55949850858
Construction and Demolition,Resolved,41.97472755169,-87.65481937663
Air Pollution Work Order,Alleged violation not found,41.99924815277,-87.79411521478
Air Pollution Work Order,Complaint Invalid,41.71324291275,-87.55803846898
Air Pollution Work Order,NA,41.90677460547,-87.63656415622
Air Pollution Work Order,Refer to other Depts,41.91192058781,-87.64210830749
Air Pollution Work Order,Complaint Valid,41.71324291275,-87.55803846898
Air Pollution Work Order,Alleged violation not found,41.71324306746,-87.55247231916
Air Pollution Work Order,Alleged violation not found,41.99303424742,-87.67471345177
Air Pollution Work Order,Alleged violation unfounded,41.65721629274,-87.5400304008
Air Pollution Work Order,Alleged violation not found,41.70557470571,-87.55978724711
